u'Date', u'Time\nET', u'Statistic', u'For', u'Actual', u'Briefing Forecast', u'Market Expects', u'Prior', u'Revised\nFrom'
u'Jan 2', u'8:30 AM', u'Initial Claims', u'12/28', u'339K', u'340K', u'333K', u'341K', u'338K'
u'Jan 2', u'8:30 AM', u'Continuing Claims', u'12/21', u'2833K', u'2875K', u'2875K', u'2931K', u'2923K'
u'Jan 2', u'10:00 AM', u'Construction Spending', u'Nov', u'1.0%', u'0.5%', u'0.8%', u'0.9%', u'0.8%'
u'Jan 2', u'10:00 AM', u'ISM Index', u'Dec', u'57.0', u'56.7', u'56.9', u'57.3', u'--'
u'Jan 2', u'10:30 AM', u'Natural Gas Inventories', u'12/28', u'-', u'NA', u'NA', u'177 bcf', u'-'
u'Jan 3', u'10:30 AM', u'Natural Gas Inventories', u'12/28', u'-97 bcf', u'NA', u'NA', u'177 bcf', u'-'
u'Jan 3', u'11:00 AM', u'Crude Inventories', u'12/28', u'-7.007M', u'NA', u'NA', u'-4.731M', u'-'
u'Jan 3', u'2:00 PM', u'Auto Sales', u'Dec', u'-', u'NA', u'NA', u'5.7M', u'-'
u'Jan 3', u'2:00 PM', u'Truck Sales', u'Dec', u'-', u'NA', u'NA', u'7.1M', u'-'
u'Jan 6', u'10:00 AM', u'Factory Orders', u'Nov', u'1.8%', u'2.0%', u'1.7%', u'-0.5%', u'-0.9%'
u'Jan 6', u'10:00 AM', u'ISM Services', u'Dec', u'53.0', u'53.0', u'54.6', u'53.9', u'-'
u'Jan 7', u'8:30 AM', u'Trade Balance', u'Nov', u'-$34.3B', u'-$41.5B', u'-$40.4B', u'-$39.3B', u'-$40.6B'
u'Jan 8', u'7:00 AM', u'MBA Mortgage Index', u'01/04', u'2.6%', u'NA', u'NA', u'NA', u'-'
u'Jan 8', u'8:15 AM', u'ADP Employment Change', u'Dec', u'238K', u'185K', u'203K', u'229K', u'215K'
u'Jan 8', u'10:30 AM', u'Crude Inventories', u'01/04', u'-2.675M', u'NA', u'NA', u'-7.007M', u'-'
u'Jan 8', u'2:00 PM', u'FOMC Minutes', u'12/18', u'-', u'-', u'-', u'-', u'-'
u'Jan 8', u'3:00 PM', u'Consumer Credit', u'Nov', u'$12.3B', u'$15.0B', u'$15.2B', u'$17.9B', u'$18.2B'
u'Jan 9', u'7:30 AM', u'Challenger Job Cuts', u'Dec', u'-5.9%', u'NA', u'NA', u'-20.6%', u'-'
u'Jan 9', u'8:30 AM', u'Initial Claims', u'01/04', u'330K', u'340K', u'338K', u'345K', u'339K'
u'Jan 9', u'8:30 AM', u'Continuing Claims', u'12/28', u'2865K', u'2875K', u'2875K', u'2815K', u'2833K'
u'Jan 9', u'10:30 AM', u'Natural Gas Inventories', u'01/04', u'-157 bcf', u'NA', u'NA', u'-97 bcf', u'-'
u'Jan 10', u'8:30 AM', u'Nonfarm Payrolls', u'Dec', u'74K', u'185K', u'197K', u'241K', u'203K'
u'Jan 10', u'8:30 AM', u'Nonfarm Private Payrolls', u'Dec', u'87K', u'200K', u'198K', u'226K', u'196K'
u'Jan 10', u'8:30 AM', u'Unemployment Rate', u'Dec', u'6.7%', u'7.1%', u'7.0%', u'7.0%', u'-'
u'Jan 10', u'8:30 AM', u'Hourly Earnings', u'Dec', u'0.1%', u'0.2%', u'0.2%', u'0.2%', u'-'
u'Jan 10', u'8:30 AM', u'Average Workweek', u'Dec', u'34.4', u'34.5', u'34.5', u'34.5', u'-'
u'Jan 10', u'10:00 AM', u'Wholesale Inventories', u'Nov', u'0.5%', u'-0.2%', u'0.2%', u'1.3%', u'1.4%'
u'Jan 13', u'2:00 PM', u'Treasury Budget', u'Dec', u'$53.2 B', u'+$44.0B', u'+$44.0B', u'-$1.2B', u'-'
u'Jan 14', u'8:30 AM', u'Retail Sales', u'Dec', u'0.2%', u'-0.3%', u'0.0%', u'0.4%', u'0.7%'
u'Jan 14', u'8:30 AM', None, u'Dec', u'0.7%', u'-0.1%', u'0.4%', u'0.1%', u'0.4%'
u'Jan 14', u'8:30 AM', None, u'Dec', u'0.3%', u'NA', u'NA', u'0.1%', u'-'
u'Jan 14', u'8:30 AM', None, u'Dec', u'-0.1%', u'NA', u'NA', u'0.0%', u'-'
u'Jan 14', u'10:00 AM', u'Business Inventories', u'Nov', u'0.4%', u'0.2%', u'0.3%', u'0.8%', u'0.7%'
u'Jan 15', u'7:00 AM', u'MBA Mortgage Index', u'01/11', u'11.9%', u'NA', u'NA', u'2.6%', u'-'
u'Jan 15', u'8:30 AM', u'PPI', u'Dec', u'0.4%', u'0.2%', u'0.3%', u'-0.1%', u'-'
u'Jan 15', u'8:30 AM', None, u'Dec', u'0.3%', u'0.1%', u'0.1%', u'0.1%', u'-'
u'Jan 15', u'8:30 AM', u'Empire Manufacturing', u'Jan', u'12.5', u'4.0', u'3.5', u'2.2', u'1.0'
u'Jan 15', u'10:30 AM', u'Crude Inventories', u'01/11', u'-7.658M', u'NA', u'NA', u'-2.675M', u'-'
u'Jan 15', u'2:00 PM', u"Fed's Beige Book", u'Jan', u'-', u'-', u'-', u'-', u'-'
u'Jan 16', u'8:30 AM', u'Initial Claims', u'01/11', u'326K', u'335K', u'333K', u'328K', u'330K'
u'Jan 16', u'8:30 AM', u'Continuing Claims', u'01/04', u'3030K', u'2875K', u'2835K', u'2856K', u'2865K'
u'Jan 16', u'8:30 AM', u'CPI', u'Dec', u'0.3%', u'0.2%', u'0.3%', u'0.0%', u'-'
u'Jan 16', u'8:30 AM', None, u'Dec', u'0.1%', u'0.2%', u'0.2%', u'0.2%', u'-'
u'Jan 16', u'9:00 AM', u'Net Long-Term TIC Flows', u'Nov', u'-$29.3B', u'NA', u'NA', u'$28.7B', u'$35.4B'
u'Jan 16', u'10:00 AM', u'Philadelphia Fed', u'Jan', u'9.4', u'8.0', u'8.0', u'6.4', u'7.0'
u'Jan 16', u'10:00 AM', u'NAHB Housing Market Index', u'Jan', u'56', u'57', u'57', u'57', u'58'
u'Jan 16', u'10:30 AM', u'Natural Gas Inventories', u'01/11', u'-287 bcf', u'NA', u'NA', u'-157 bcf', u'-'
u'Jan 17', u'8:30 AM', u'Housing Starts', u'Dec', u'999K', u'945K', u'986K', u'1107K', u'1091K'
u'Jan 17', u'8:30 AM', u'Building Permits', u'Dec', u'986K', u'1000K', u'1000K', u'1017K', u'1007K'
u'Jan 17', u'9:15 AM', u'Industrial Production', u'Dec', u'0.3%', u'0.3%', u'0.3%', u'1.0%', u'1.1%'
u'Jan 17', u'9:15 AM', u'Capacity Utilization', u'Dec', u'79.2%', u'79.1%', u'79.1%', u'79.1%', u'79.0%'
u'Jan 17', u'9:55 AM', u'Mich Sentiment', u'Jan', u'80.4', u'81.5', u'83.0', u'82.5', u'-'
u'Jan 17', u'10:00 AM', u'JOLTS - Job Openings', u'Nov', u'4.001M', u'NA', u'NA', u'3.931M', u'3.925M'
u'Jan 22', u'7:00 AM', u'MBA Mortgage Index', u'01/18', u'4.7%', u'NA', u'NA', u'11.9%', u'-'
u'Jan 23', u'8:30 AM', u'Continuing Claims', u'01/11', u'-', u'NA', u'NA', u'3030K', u'-'
